"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Potra000001g00001",0.911824188130494,1.68574456631298,3.08009493302236,0.547302795196262,0.584170723824079,NA
"Potra000001g00002",5.12786940481426,3.04384058051221,1.21764514128075,2.49977639405731,0.0124271717072272,0.0683834307095196
"Potra000002g00003",19.0184389728203,0.728057599931311,0.370825412860831,1.96334332729388,0.0496062941772264,0.160716891762369
"Potra000002g00005",0,NA,NA,NA,NA,NA
"Potra000002g00006",72.9842981844357,-0.00321990826586573,0.308044663231157,-0.0104527318606702,0.991660078499855,0.995964345518822
"Potra000002g00007",16.0864786374515,0.137190759216937,0.471349723550153,0.291059381946025,0.771005904175326,0.867930217305418
"Potra000002g00008",0,NA,NA,NA,NA,NA
"Potra000002g00009",0,NA,NA,NA,NA,NA
"Potra000002g00010",0,NA,NA,NA,NA,NA
"Potra000002g00011",0,NA,NA,NA,NA,NA
"Potra000002g00012",1231.16914473247,0.911995717144799,0.22958133473454,3.97242971951236,7.11432298708163e-05,0.00256814851167055
"Potra000002g00013",213.457953161487,0.253409790414761,0.409673729967983,0.618564901475537,0.536203029904184,0.703116961858376
"Potra000002g00014",45.245461419392,-0.130589621954844,0.387331796367336,-0.337151824816871,0.736002451493605,0.84532573405623
"Potra000002g00015",0.891718243248931,0.868994648287594,3.2474730027777,0.267591030793576,0.789014135660208,NA
"Potra000002g00016",3.6392472307239,-2.67938306999539,1.38074625185855,-1.94053256808686,0.0523150001283092,0.166485598675416
"Potra000002g00017",9.49264674304355,0.775008080841865,0.607890020560778,1.27491495933248,0.202339343639848,0.386542639880234
"Potra000002g00018",17.8872354868254,-1.10854168729214,0.608909520050611,-1.82053597585401,0.0686774227805606,0.19647606854839
"Potra000002g31575",0,NA,NA,NA,NA,NA
"Potra000002g31576",0,NA,NA,NA,NA,NA
"Potra000002g31577",0,NA,NA,NA,NA,NA
"Potra000002g31578",0,NA,NA,NA,NA,NA
"Potra000002g31581",0,NA,NA,NA,NA,NA
"Potra000002g31584",0,NA,NA,NA,NA,NA
"Potra000002g35060",8.98492450056186,0.908602367891711,0.627767361396613,1.44735522068289,0.147797460503712,0.316509526940804
"Potra000003g00019",129.104596105615,1.01101076802185,0.29799286166625,3.39273485401195,0.000691985841301576,0.011560910023016
"Potra000003g00020",38.9335380306854,0.253824365428832,0.429842596691564,0.590505378904933,0.554851880670464,0.717108516850991
"Potra000003g00021",0,NA,NA,NA,NA,NA
"Potra000003g00022",7.10825882714821,1.74339461712301,0.750334320581192,2.32349043526707,0.0201528208892514,0.0916681978683681
"Potra000003g00023",0.836549084282849,6.09199105268644,2.63665688020706,2.31049822918485,0.0208605864627553,NA
"Potra000003g00024",74.6413792282716,0.12653280219219,0.261946688810313,0.483047916226257,0.629061714241684,0.77202943861235
"Potra000004g00025",0,NA,NA,NA,NA,NA
"Potra000005g00026",36.8484437269122,-0.0237184606799119,0.371708888111215,-0.0638092373858311,0.949122122880305,0.974085727017093
"Potra000005g00027",7.89326280826248,0.272417150615989,0.683329529659041,0.398661463894172,0.690142666219671,0.814049607669724
"Potra000005g00028",110.388326743479,-0.380559083843758,0.32388316243741,-1.17498878601724,0.239999202259028,0.430441941962326
"Potra000005g34138",0,NA,NA,NA,NA,NA
"Potra000006g00029",10.2266370724073,-0.124923088931535,0.681203332378372,-0.183385904022775,0.854495235275812,0.919977910340918
"Potra000006g00030",28.3824508725971,1.01307901954566,0.361246071950323,2.80440148200413,0.0050410090598172,0.0391029509583403
"Potra000006g00031",9.76810756902204,0.166612921314844,0.566222607164715,0.29425338940304,0.768564286593227,0.86653067424259
"Potra000006g00032",65.4872457207766,2.24461466534165,0.450050860340586,4.98746889105597,6.11754663874159e-07,0.000102575298314378
"Potra000006g00033",97.0427660706793,-0.0482970293533367,0.250816189271943,-0.192559457559462,0.847303998794542,0.9161573471078
"Potra000007g00034",0,NA,NA,NA,NA,NA
"Potra000007g00035",26.6254051208353,-0.146815865921095,0.476799457444595,-0.307919532266152,0.758143562831912,0.859724768457124
"Potra000007g33219",0.818820839016605,1.43631650712203,2.12132885806593,0.677083377082589,0.498353055103571,NA
"Potra000008g00036",0.455131536668843,1.10177606073708,2.87302143129093,0.383490373144214,0.701356206812097,NA
"Potra000008g00037",0.103866099079435,1.09972382508713,6.87191961678324,0.160031532150242,0.872856235247092,NA
"Potra000008g00038",8.84572380371922,0.65963529418132,0.673217298994428,0.979825229040616,0.327172396306263,0.520919654568776
"Potra000008g00039",37.6826632751167,0.172919267415101,0.353952871913299,0.488537545917858,0.625169138040118,0.769413025590547
"Potra000008g00040",105.618968415458,-1.03255211058724,0.249579936486611,-4.13715992207822,3.51631045259227e-05,0.0016079823628959
"Potra000008g00041",4.45834109357063,-1.19258138423314,0.861790886886994,-1.38384079291096,0.166407209195846,0.34138612123093
"Potra000008g00042",77.6604672229578,1.1335361653185,0.469819338983138,2.4127064836707,0.0158345654948767,0.0793064958844054
"Potra000008g00043",0.036271319563679,2.40713426043681,6.8808311516193,0.349831903645874,0.726464854427743,NA
"Potra000008g00044",32.7427101411436,-1.49399414545145,0.527800778002019,-2.83060239340105,0.00464604373166234,0.0373768106927147
"Potra000008g33361",0,NA,NA,NA,NA,NA
"Potra000009g00045",0.320382143479286,-0.50478305522218,2.76185654404292,-0.182769469439299,0.854978904919744,NA
"Potra000009g00046",28.8775178560692,0.0300185876641074,0.456206272255568,0.065800471167768,0.947536681113351,0.973561920506848
"Potra000009g00047",79.6415569314409,1.66466852396566,0.581309940397758,2.8636505386896,0.00418789761822188,0.0349461327781193
"Potra000009g00048",9.99364225354167,-0.95975010353541,0.798891148752447,-1.20135278133218,0.229614384269123,0.41828132755293
"Potra000009g00049",31.8910297757599,-0.488480792407279,0.367908180750536,-1.32772473667417,0.184269058524423,0.364302951571823
"Potra000009g00050",3.59566938015168,-2.67546788607306,1.34762116839358,-1.98532640242089,0.0471081683948273,0.155798280130808
"Potra000009g00051",0.102150549781293,0.995502028876421,6.86987302903419,0.144908359247562,0.884783226377665,NA
"Potra000009g00052",113.573030418313,0.755853539755412,0.306886154049428,2.46297700232403,0.0137788753593776,0.0729419805400684
"Potra000009g00053",0.0191074516271055,1.68583552745724,6.8808311516193,0.245004635386309,0.806452842209973,NA
"Potra000009g00054",0.744010714300937,0.585184750272408,2.01420314413973,0.290529161358419,0.771411444821378,NA
"Potra000010g00055",0,NA,NA,NA,NA,NA
"Potra000010g00056",446.313137641891,-0.355209319891085,0.315944635553835,-1.12427710401989,0.260895488394192,0.452368730307472
